boro,borough,boardNumber,agencyAcronym,responseId,communityBoardID,isDeleted,policyArea,needGroup,agency,type,need,request,budgetRequestTitle,continuedSupport,explanation,siteSpecific,address,siteOrFacility,siteOnStreet,siteStreetSegmentCrossStreet1,siteStreetSegmentCrossStreet2,siteStreetSegementSide,siteIntersectionStreetName,siteIntersectionStreet1,siteIntersectionStreet2,siteIntersectionCompassDirection,supporter1,supporter2,currentFYAgencyResponse,currentFYAgencyCategoryResponse,currentFYRanking,currentYearID
BX,Bronx,1,DOHMH,4579,BX1,,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Animal and pest control services,Animal and pest control requests including reducing rat and mosquito populations,Animal and pest control requests including reducing rat and mosquito populations,,"Increase funding for Pest Control in CD 1.    These are vacant lots infested with rodents and insects in CD 1.  In order to provide adequate service, funds are needed to purchase rodenticide and warning posters.",No,,,,,,,,,,,,,"Every property in NYC, whether vacant or occupied has a desginated owner or legally responsible party that must maintain the general upkeep and conditions of that property ",This request has already been completed.,3,8239108-4579-2027-BX01-E
BX,Bronx,1,DPR,4580,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Other expense budget request for DPR,Other expense budget request for DPR,,"Vehicles to replace aging fleet.  The Parks Department relies o vehicles that are constantly out of service and over five-years old.  Parks also needs to service larger parks with smaller, safer and more efficient small utility vehicles.",No,,,,,,,,,,,,,Small utility vehicles are typically not capitally eligible and require additional funding request. All city vehicles are on a 10-year replacement cycle.,Agency supports but cannot accommodate.,2,8239108-4580-2027-BX01-E
BX,Bronx,1,SCA,4581,BX1,,"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate or upgrade an elementary school,Renovate or upgrade an elementary school,,"Funding for the creation of a library/media room at PS 5 where the children can do homework, study and learn.  Funding for cameras at the front entrance and School Safety Agents for the protection of the children.",Yes,"564 JACKSON AVENUE, Bronx, NY, USA",PS 5,,,,,,,,,,,FUNDING NOT AVAILABLE. PLEASE CHECK WITH ELECTED OFFICALS (BP/CC) FOR RESO A FUNDING. ,Agency supports but cannot accommodate.,1,8239108-4581-2027-BX01-C
BX,Bronx,1,DPR,4582,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Enhance park safety through more security staff (police or parks enforcement),Enhance park safety through more security staff (police or parks enforcement),,"Syringe Removal Program needs more funding to remove syringes more quickly. In order to address conditions more quickly, additional support including staff and and supplies for the Syringe Removal Program such as syringe collection kiosks, sharps collection containers for district crews and PEP Officers, puncture resistant gloves and other equipment are needed.",No,,,,,,,,,,,,,Additional funding is needed for staffing. ,Agency supports but cannot accommodate.,3,8239108-4582-2027-BX01-E
BX,Bronx,1,DSNY,4583,BX1,,"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide more on-street trash cans and recycling containers,Provide more on-street trash cans and recycling containers,,Provide more on-street trash cans and recycling containers throughout the district,No,,,,,,,,,,,,,"The agency agrees with this request, but funding cannot be determined at this time.",Agency supports but cannot accommodate.,1,8239108-4583-2027-BX01-E
BX,Bronx,1,NYPL,4584,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Capital,"Library facilities, equipment and programs",Other capital budget request for NYPL,Other capital budget request for NYPL,,"Increased expense funding, so libraries in every neighborhood can help rebuild a more equitable New York, including technology access for families in all libraries. ",No,,,,,,,,,,,,,NYPL requires increased expense funding from NYC to accomodate the request. ,Agency supports but cannot accommodate.,1,8239108-4584-2027-BX01-C
BX,Bronx,1,DPR,4585,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,Park maintenance and safety,"Enhance park safety through design interventions, e.g. better lighting","Enhance park safety through design interventions, e.g. better lighting",,"At St. Mary's Park, policing is required to ensure that the park is not utilized for drug distribution use.",No,,,,,,,,,,,,,More specific information is needed as this does not appear to be a capital request. ,The agency does not understand the request as written and requires more clarification.,2,8239108-4585-2027-BX01-C
BX,Bronx,1,DPR,4586,BX1,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,Park maintenance and safety,"Enhance park safety through design interventions, e.g. better lighting","Enhance park safety through design interventions, e.g. better lighting",,Enhance lighting in all district parks and playgrounds so that there will be a year round safe environment for the community to use and enjoy.,No,,,,,,,,,,,,,The Department of Transportation does not design or approve lighting within Parks. This is the responsibility of New York City Park Department.,Agency supports but cannot accommodate.,3,8239108-4586-2027-BX01-C
BX,Bronx,1,DSNY,4587,BX1,,"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide more frequent garbage or recycling pick-up,Provide more frequent garbage or recycling pick-up,,Maintaining extra collection services at NYCHA sites.,No,,,,,,,,,,,,,DSNY plans on continuing the same budgeted levels of service of NYCHA buildings. ,Agency supports and can accommodate.,2,8239108-4587-2027-BX01-E
BX,Bronx,1,DOHMH,4589,BX1,,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,Additional PEP Officers.  There exists a need for additional Park Enforcement Officers throughout the Bronx.  Additional permanent Officers would allow improved security and better enforcement of quality-of-life concerns throughout the Bronx.,No,,,,,,,,,,,,,"This is with DPR and not DOHMH, so please remove ",This request has already been completed.,4,8239108-4589-2027-BX01-E
BX,Bronx,1,DOT,4590,BX1,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"Increase City Park Workers and A.P.S.W's for enhanced park maintenance.  In order to increase the level of service in parks and to keep up with new additions  to the parks system, additional City Parks Workers and A.P.S.W's are requested to service the parks throughout the borough.  These CPW's and CSA's will be fixed posted and be placed on mobile crews as well as cut grass.",No,,,,,,,,,,,,,The request is for additional City Parks Employees. The Department of Transportation does not manage the hiring of NYC Park employees. ,The agency does not understand the request as written and requires more clarification.,3,8239108-4590-2027-BX01-C
BX,Bronx,1,DSNY,4591,BX1,,"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Garbage collection and recycling,Provide more frequent garbage or recycling pick-up,Provide more frequent garbage or recycling pick-up,,There is a need for increased sanitation services throughout the district,No,,,,,,,,,,,,,"The agency supports this request, but funding is not available at this time.",Agency supports but cannot accommodate.,3,8239108-4591-2027-BX01-E
BX,Bronx,2,SCA,4592,BX2,,"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Renovate or upgrade an elementary school,Renovate or upgrade an elementary school,,Increase seating capacity in the community board so students won't need to travel via public transportation to attend class. ,No,,,,,,,,,,,,,Community Board located in sub-districts without identified seat need. ,Agency supports but cannot accommodate.,1,8239108-4592-2027-BX02-C
BX,Bronx,2,HRA,4593,BX2,,Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Services for vulnerable New Yorkers,Other request for services for vulnerable New Yorkers,Other request for services for vulnerable New Yorkers,,"The District can benefit from more services providing resources. The District is one of the highest not only in the Bronx, but throughout the City in terms of Obesity, Diabetes and Hypertension. Social and Economic conditions, we rank the as one of the highest in poverty and school absenteeism.  ",No,,,,,,,,,,,,,The Agency serves more than 3 million low-income New Yorkers through a broad range of programs to address poverty and income inequality and prevent homelessness. Defer to DOHMH regarding health disparities and DOE regarding school absenteeism. ,This request has already been completed.,1,8239108-4593-2027-BX02-E
BX,Bronx,2,NYPD,4594,BX2,,Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Provide surveillance (Argus) cameras,Provide surveillance (Argus) cameras,,"Increase Argus cameras throughout the District, including Parks in the District.",No,,,,,,,,,,,,,"Argus cameras are funded via allocations from elected officials for use within their districts.  Specific location recommendations should be provided to the local precinct commander for submission to the Information Technology Bureau once funding is allocated.  The NYPD will attempt to accommodate specific location requests whenever funding is provided, but reserves the right to place cameras as appropriate due to current crime trends and operational needs.",Agency supports but cannot accommodate.,1,8239108-4594-2027-BX02-C
BX,Bronx,2,DYCD,4595,BX2,,"Youth, Education, and Child Welfare",Needs for Youth and Child Welfare,Department of Youth and Community Development (DYCD),Expense,After school programs,"Provide, expand, or enhance Cornerstone and Beacon programs (all ages, including young adults)","Provide, expand, or enhance Cornerstone and Beacon programs (all ages, including young adults)",,Create more After-School programing to decrease at-risk engagement and promote social growth. ,No,,,,,,,,,,,,,"DYCD has begun a three-year, 20,000 seat expansion of the COMPASS afterschool program. ",This request has already been completed.,1,8239108-4595-2027-BX02-E
BX,Bronx,2,HPD,4596,BX2,,"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,Provide more housing for extremely low and low income households,Provide more housing for extremely low and low income households,,There is a need for affordable housing for single low income and middle income individuals. ,No,,,,,,,,,,,,,"HPD finances and supports different types of projects. Many projects are 100% affordable, and a portion of those units are ELI/VLI. Some projects contain a majority of ELI/VLI units. While HPD is breaking affordable housing production records, there is more work to be done. HPD will continue to maximize the use of subsidy and Low Income Housing Tax Credits (LIHTC) to projects in our development pipeline throughout the Five Boroughs, including those serving Very Low Income (VLI) and Extremely Low Income (ELI) populations.  ",Agency supports and can accommodate.,1,8239108-4596-2027-BX02-C
BX,Bronx,2,NYPD,4597,BX2,,Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Expense,NYPD staff and training resources,Hire additional traffic enforcement agents,Hire additional traffic enforcement agents,,Increase the 41st precinct's funds for enhanced personnel throughout the entire district due to the increase in foot traffic and vehicle traffic. - Increase funds for enhanced school safety personnel - Increase Park Enforcement Patrol Agents Within Community District #2 (Every community board should have its own deployment unit: 1 Sgt. and 6-8 Officers),No,,,,,,,,,,,,,"Based on the latest budget, the NYPD has a specific budgeted headcount.  The agency is working on filling vacancies in order to get to that headcount.",Agency supports but cannot accommodate.,1,8239108-4597-2027-BX02-E
BX,Bronx,2,DOT,4598,BX2,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Roadway maintenance (resurfacing, trench restoration, etc.)","Roadway maintenance (resurfacing, trench restoration, etc.)",,Resurface local streets on a yearly basis. The District has a high number of vehicles traveling everyday and the roads needs yearly resurfacing. ,No,,,,,,,,,,,,,The agency can accommodate the request if the Community Board could provide additional information of roadways that need to be resurfaced in the district. ,Agency supports but cannot accommodate.,1,8239108-4598-2027-BX02-C
BX,Bronx,2,DEP,4599,BX2,,"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,Clean catch basins,Clean catch basins,,Clean out catch basins to prevent improve drainage. ,No,,,,,,,,,,,,,PLEASE CONTACT THE AGENCY DIRECTLY AND PROMPTLY FOR MORE INFORMATION.,Agency does not support and cannot accommodate.,1,8239108-4599-2027-BX02-E
BX,Bronx,2,NYCTA,4600,BX2,,Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit Infrastructure,Other transit infrastructure requests,Other transit infrastructure requests,,Create a water ferry station at the former DOC barge location. ,Yes,, Vernon C Bain Barge ,,,,,,,,,,,PLEASE CONTACT THE AGENCY DIRECTLY AND PROMPTLY FOR MORE INFORMATION.,Agency does not support and cannot accommodate.,1,8239108-4600-2027-BX02-C
BX,Bronx,2,DSNY,4601,BX2,,"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Sanitation Enforcement,Increase enforcement of illegal dumping laws,Increase enforcement of illegal dumping laws,,Increase cameras throughout the Industrial Business Zone to enforce illegal dumping. ,No,,,,,,,,,,,,,"The agency supports this request, but funding is not available at this time.",Agency supports but cannot accommodate.,1,8239108-4601-2027-BX02-E
BX,Bronx,2,DPR,4602,BX2,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",,Reconstruct North Brother Island and allow public access. ,No,,,,,,,,,,,,,"Although the Agency values the cultural and ecological resources on North Brother Island, it is currently managed as a nature preserve and bird sanctuary, supporting an ecologically important species of harbor heron. In an attempt to restore the nesting habitat on the island and keep the public safe, we can not accommodate any requests to visit the island or allow public access. ",Agency does not support and cannot accommodate.,1,8239108-4602-2027-BX02-C
BX,Bronx,2,DOHMH,4603,BX2,,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,Create proper outreach coordination with the District of vector surveillance schedule. ,No,,,,,,,,,,,,,"DOHMH is happy to discuss further on ways to partner for information dissemination on our existing outreach for mosquito treatment activities. As a reminder, there is no set schedule for mosquito spraying.  ",This request has already been completed.,1,8239108-4603-2027-BX02-E
BX,Bronx,2,DPR,4604,BX2,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",,Install a permanent pool at Barretto Point Park. ,No,,,,,,,,,,,,,Please continue advocating for funding. This request requires funding. We are currently conducting a study of the site for feasibility. ,Agency supports but cannot accommodate.,2,8239108-4604-2027-BX02-C
BX,Bronx,2,SBS,4605,BX2,,"Housing, Economic Development, and Land Use",Needs for Economic Development,Department of Small Business Services (SBS),Expense,Workforce development,Provide or expand occupational skills training programs,Provide or expand occupational skills training programs,,Provide job training for local residents for local jobs. The District benefits from an Industrial Business Zone and training should reflect opportunities from the iBZ.  ,No,,,,,,,,,,,,,"SBS already administers a variety of training programs in high-demand industries and helps job connections following the training. The Workforce1 Centers also offer an array of resources to support jobseekers.   SBS has four Workforce1 Centers in the Bronx, including the Hunts Point Workforce1 Career Center in BXCB2 (1029 East 163rd Street, 3rd Floor, Bronx, NY  10459).",Agency supports and can accommodate.,2,8239108-4605-2027-BX02-E
BX,Bronx,2,OMB,4607,BX2,,"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Office of Management and Budget (OMB),Expense,Community board facilities and staff,Other community board facilities and staff requests,Other community board facilities and staff requests,,Increase the Operations Budget for Community Boards. ,No,,,,,,,,,,,,,"As of the FY 2027 Preliminary Budget, each Community Board’s budget is being maintained.",Agency does not support and cannot accommodate.,1,8239108-4607-2027-BX02-E
BX,Bronx,2,FDNY,4608,BX2,,Public Safety and Emergency Services,Needs for Emergency Services,Fire Department of New York (FDNY),Capital,FDNY facilities and equipment,Provide new facilities such as a firehouse or EMS station,Provide new facilities such as a firehouse or EMS station,,The District can benefit from a new EMS Station.,No,,,,,,,,,,,,," FDNY is supportive of this request in concept, however the priority remains the maintenance/upkeep of existing facilities. FDNY assesses operational needs on a regular basis and will accommodate needs as best able within existing budget",Agency supports but cannot accommodate.,1,8239108-4608-2027-BX02-C
BX,Bronx,2,DPR,4609,BX2,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Street trees and forestry services,"Forestry services, including street tree maintenance","Forestry services, including street tree maintenance",,Plant more trees throughout the District including memorial trees. ,No,,,,,,,,,,,,,"As part of our new Neighborhood Tree Planting approach, we will be planting trees in every viable location across the city on a predictable 9-year cycle. Find out when we will be planting each neighborhood on the Parks website: https://www.nycgovparks.org/trees/street-tree-planting.  Memorial trees can be planted by making donations to NYC Parks Tree Time, a program of NYC Parks and the City Parks Foundation: https://www.nycgovparks.org/trees/tree-care/nyc-parks-tree-time",Agency supports and can accommodate.,1,8239108-4609-2027-BX02-E
BX,Bronx,2,DOT,4611,BX2,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Traffic and traffic flow,Improve parking operations,Improve parking operations,,Improve overall parking. The District is losing parking due to traffic pedestrian safety improvements.  The District needs to replenish the loss parking spaces. ,No,,,,,,,,,,,,,More information is needed to properly address this concern.  ,The agency does not understand the request as written and requires more clarification.,1,8239108-4611-2027-BX02-E
BX,Bronx,2,DSNY,4612,BX2,,"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Capital,Garbage collection and recycling infrastructure,Provide new or increase number of sanitation trucks and other equipment,Provide new or increase number of sanitation trucks and other equipment,,Increase Snow removal equipment in District. ,No,,,,,,,,,,,,,"The agency supports this request, but funding is not available at this time.",Agency supports but cannot accommodate.,1,8239108-4612-2027-BX02-C
BX,Bronx,2,HPD,4613,BX2,,"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Housing oversight and emergency housing programs,"Provide, expand, or enhance programs for housing inspections to correct code violations","Provide, expand, or enhance programs for housing inspections to correct code violations",,Provide more oversight to Management Companies who have multiple violations in certain buildings.  ,No,,,,,,,,,,,,,This is a policy issue and not a budget request. ,Agency does not support and cannot accommodate.,1,8239108-4613-2027-BX02-E
BX,Bronx,3,DPR,4614,BX3,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",,"Repair broken and Defective Concrete Facing at Handball Courts and Related Grounds at Basil Behagen Playground - Union Avenue, Tinton Avenue and E. 166 St. in Bronx CD 3; Bronx CB 3 capital budget request # 26; Tracking Code 103201005C; Bronx CB 3 is requesting the intervention of NYC DPR in repairing the broken/defective concrete facing at numerous locations on the handball courts and the related ground areas. Additionally, the scope of work should address other defective concrete conditions throughout the park, particularly the softball play area.  These defects have impaired the ability of players to enjoy games at the park site.  Bronx CB 3 recommends that this item be addressed via a NYC Requirements contract.",Yes,"BASIL BEHAGEN PLAYGROUND, Bronx, NY, USA",Basil Behagen Playground,,,,,,,,,,,Funding is needed; please reach out to your respective elected officials. ,Agency supports but cannot accommodate.,1,8239108-4614-2027-BX03-C
BX,Bronx,3,NYPL,4616,BX3,,"Parks, Cultural, and Other Community Facilities",Needs for Library Services,New York Public Library (NYPL),Capital,"Library facilities, equipment and programs","Create a new, or renovate or upgrade an existing public library","Create a new, or renovate or upgrade an existing public library",,Provide for replacement of the existing boiler with a new energy-efficient model ($1.5 m - $3.015 m). This replacement will reduce energy consumption and Greenhouse Gas emissions. (secured $823k); Bronx CB 3 Capital Request #7; Tracking Code: 103201501C,Yes,"610 EAST 169 STREET, Bronx, NY, USA",,,,,,,,,,,,This project is on hold while the condition of the branch is further assessed. ,Agency does not support and cannot accommodate.,1,8239108-4616-2027-BX03-C
BX,Bronx,3,DPR,4617,BX3,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Improve trash removal and cleanliness,Other garbage collection and recycling requests,,"Increase Personnel in CD Three for Effective Operations; Bronx CB 3 expense budget request # 6; Tracking Code: 103198904E; Provide the following additional personnel for effective parks maintenance and operation of our parks and playgrounds: a. Two (2) Associate Park Service Worker for truck operations related to refuse removal throughout CD 3 parks and playgrounds b) Two (2) climbers and pruners. The following personnel request is for dedicated staffing to Crotona Park exclusively: 12 seasonal CPWs for maintenance of park (Spring/Summer); 4 full time CPWs for year round dedicated lake cleaning and maintenance, 1 gardener, 2 PEP sergeants and 6 officers for year round park security and 1 driver (APSW)",Yes,"1720 CROTONA AVENUE, Bronx, NY, USA","CROTONA PARK, Bronx, NY, USA",Crotona Avenue,Crotona Park East,Crotona Park West,,,,,,Phipps Community Development Corp.,Friends of Crotona,"At our current staffing baseline, District 3 is very well represented. ",Agency supports but cannot accommodate.,1,8239108-4617-2027-BX03-E
