boro,boardNumber,agencyAcronym,responseId,communityBoardID,policyArea,needGroup,agency,type,need,request,budgetRequestTitle,continuedSupport,explanation,siteSpecific,siteAddress,siteSiteName,siteFacilityName,siteCrossStreet1,siteCrossStreet2,siteOnStreet,siteStreetSegmentCrossStreet1,siteStreetSegmentCrossStreet2,siteStreetSegementSide,siteIntersectionStreetName,siteIntersectionStreet1,siteIntersectionStreet2,siteIntersectionCompassDirection,currentFYRanking
Manhattan,3,DHS,85,MN3,Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Facilities for the homeless,Other facilities for homeless requests,Other facilities for homeless requests,,Increase funding for more Safe Haven and stabilization beds // CB 3 is currently experiencing a crisis with the street homeless population and beds in the community are not immediately available for those needing services. Safe Haven beds are low-threshold housing that enable street homeless to transition to housing and have proven effective. Single-person units are needed to accommodate those who are not prepared to accept beds in 2-person units. ,Yes,,,Safe Haven,,,,,,,,,,,4
Manhattan,5,DHS,86,MN5,Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Facilities for the homeless,Other facilities for homeless requests,Other facilities for homeless requests,,Funding to support semi-private shelter accomodations for  emergency sites for homeless population,No,,,,,,,,,,,,,,10
Bronx,4,DCP,87,BX4,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"The ULI Technical Assistance Panel (TAP) conducted in October 2019, made a number  of recommendations that would improve existing conditions in the district. While, not endorsing a soccer stadium, the Board likes the recommendations and implementation strategies outlined in the report and urges the city to leverage the TAP as a guide for future development of the area. In particular we would like the city to conduct a parking study which would include an analysis of on-street parking throughout district as well as utilization for all garages along the Harlem River and near Yankee Stadium with the ultimate goal to launch a pilot program for on-street parking permits for area residents.  (REPORT ATTACHED)",No,,,,,,,,,,,,,,7
Bronx,9,DCP,88,BX9,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,We would like to start a zoning initiative to modify zoning in the west and north parts of our district. We have completed community vision sessions and focus groups throughout out our district and want to take the next step to change zoning for our future needs.,No,,,,,,,,,,,,,,2
Brooklyn,9,DCP,89,BK9,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"Zoning is supposed to organize the way land is used, determine the sizes and building uses; however, the current zoning in Community District 9 encompasses a mixture of different zoning, which we have seen create numerous concerns for residents and home-owners in the district.  CB9 would greatly appreciate the opportunity to have a study of our district with an included focus on the preservation of apartments to better utilize land in the district to address the need for housing. Study should include height and setback controls, open space, commercial revitalization, upgraded/new schools, job creation, transportation access, improved utility services and infrastructure to support an expected population growth.",Yes,, District Wide,,,,,,,,,,,,3
Brooklyn,12,DCP,90,BK12,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"One of the major issues plaguing the district is the lack of affordable housing. To that end, we request some long overdue studies of commercial areas in our district, specifically the commercial strip spanning 60th street, for the purposes of being rezoned for residential development with a major focus on affordable housing.",No,,,,,,,,,,,,,,28
Manhattan,1,DCP,91,MN1,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,Fund a study to create zoning requirements for cold waste storage rooms in newly constructed buildings as wells as enlargements and conversions.,No,,,,,,,,,,,,,,33
Manhattan,1,DCP,92,MN1,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"DCP should review development rights transfer zoning at the South Street Seaport Historic District, including an update and search for alternative receiving sites outside of the historic district.",No,,,,,,,,,,,,,,58
Manhattan,5,DCP,93,MN5,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,CB5 Land Use Visioning Process: Support funding CB5 land use visioning process at and around Penn Station,Yes,,,Penn Station,,,,,,,,,,,26
Manhattan,9,DCP,94,MN9,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,Provide funding for rezoning study for Morningside Heights.,No,,,,,,,,,,,,,,54
Manhattan,10,DCP,95,MN10,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"Study Land Use and Zoning to better match current use of neighborhood and future needs	Provide, expand, or enhance Community Board funding for Land Use and Zoning Studies to better match current use or future neighborhood needs	Multiple",No,,,,,,,,,,,,,,13
Queens,1,DCP,96,QN1,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"The section of Northern Blvd. which lies in CD1, Q boundaries is one of the fastest changing areas in our district.  Our Board would like a comprehensive study done to determine the best complementary uses suitable to the infrastructure and neighborhood on and adjacent to Northern Blvd.",Yes," Northern Boulevard, Astoria NY",, Zoning Study,,,,,,,,,,,4
Queens,1,DCP,97,QN1,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"Our District has seen unprecedented growth. Land Use and Zoning changes have had a tremendous impact on the residents. City Planning can provide our district with a snap shot of what the Ravenswood area of CD1 could possibly look like in the future.  A comprehensive framework study of the area would provide the community with an ability to plan for the future. It defines legal rights and constraints regarding land use, and regulates use, size and coverage of lots, height, bulk and siting of buildings, parking requirements and density of development for each parcel of land.  Boundaries are Broadway to North 39th Ave. to South 32 to East and Vernon Blvd. to West.",No,,,,,,,,,,,,,,36
Queens,2,DCP,98,QN2,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"Study use of public land and public assets for reuse as a cultural and recreation centers, with focus on resiliency and sustainability.  ",No,,,,,,,,,,,,,,15
Queens,6,DCP,99,QN6,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,"This request is for City Planning to study special rezoning Districts throughout CB6, including commercial areas around Queens Boulevard, 108th Street, and 63rd Drive. This request is modeled on the 10-block Special Forest Hills District centered on Austin Street, which ensures predictable building envelopes and provides a transition in building scale from lower-rise buildings on Austin Street to taller buildings along Queens Boulevard. Other areas in CB6 would also benefit from a wider city planning lens.",No,,,,,,,,,,,,,,21
Staten Island,1,DCP,100,SI1,"Housing, Economic Development, and Land Use",Needs for Land Use,Department of City Planning (DCP),Expense,Zoning and land use,Study land use and zoning to better match current use or future neighborhood needs,Study land use and zoning to better match current use or future neighborhood needs,,Study land use and zoning to better match current uses or neighborhood character - Undertake a comprehensive study of current and trending land use and zoning to craft appropriate zoning maps.,No,,,,,,,,,,,,,,17
Manhattan,2,DCLA,101,MN2,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Other cultural facilities and resources requests,Other cultural facilities and resources requests,,"E15.  Mayor's Office of Media and Entertainment.  Allocate funds to enable MOME to conduct enforcement and require compliance with film and television permit specifics.  As the number of film shoots in our District continues to proliferate, so does the number of complaints from our residents and businesses.  CB2 feels strongly that MOME needs to have enforcement staff that track film shoots in real time and proactively ensures that all permit specifics are adhered-to. ",No,,,,,,,,,,,,,,15
Manhattan,2,DCLA,102,MN2,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Other cultural facilities and resources requests,Other cultural facilities and resources requests,,"E29.  Citywide Event Coordination and Management / Street Activity Permit Office.  Allocate funds to enable SAPO to study the effects that full street closures for commercial events have on neighboring businesses and residents.  CB2 remains disturbed by the endless proliferation of promotional and commercial events, some with permits; some not, which are occurring regularly especially in SoHo and NoHo.  The study should include the impacts on pedestrian access, traffic flow, and the creation of ""hot spots"" at the confluence of multiple street closures in close proximity as compared with other Districts.",No,,,,,,,,,,,,,,29
Manhattan,12,DCLA,103,MN12,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Other cultural facilities and resources requests,Other cultural facilities and resources requests,,Staff a center/facility for evening & afterschool recreational/educational activities for at-risk youth.,No,,,,,,,,,,,,,,23
Brooklyn,8,DCLA,104,BK8,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations,Support nonprofit cultural organizations,,"Cultural Affairs needs to assist our cultural institutions with advertisement opportunities across the city. A greater emphasis needs to be placed on the importance of the arts, culture, and diaspora history.",No,,,,,,,,,,,,,,26
Manhattan,1,DCLA,105,MN1,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations,Support nonprofit cultural organizations,,"The Seaport Museum formerly funded  $650,000 per year in operating funding from the City, administered by EDC which sunset in June of 2022. This funding was essential for the Museum's survival through COVID and has enabled the mission-focused work that has served more than 20,000 visitors, still more NYC public school students, and innumerable participants in virtual programming. Community Board 1 supports renewal of this important funding from the City of New York.",Yes,12 Fulton St,Fulton St,South Street Seaport Museum,,,,,,,,,,,24
Manhattan,4,DCLA,106,MN4,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations,Support nonprofit cultural organizations,,"MCB4 reasserts its support of the partial restoration of DCLA's funding. The creative community has been a valuable asset to our district for decades. We ask that you support our cultural organizations by providing additional funding to DCA. In particular arts and culture programs at Hudson Guild, at 441 W 26th St, Fountain House Gallery, at 702 9th Avenue, and the Open Culture Program. ",No,,,,,,,,,,,,,,38
Manhattan,10,DCLA,107,MN10,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations,Support nonprofit cultural organizations,,$500K for Capacity Building Assistance  for Nonprofit Arts Organizations    ,Yes,163 West125th #17,,Harlem Community Development Corporation,,,,,,,,,,,1
Manhattan,12,DCLA,108,MN12,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations,Support nonprofit cultural organizations,,(Revised) Increase DCLA funding by at least $1mm to increase support for arts programming and individual artists within CD12M (DCLA),No,,,,,,,,,,,,,,29
Queens,4,DCLA,109,QN4,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations,Support nonprofit cultural organizations,,"We are fortunate to share experiences with people of many nations. Immigrants from Asia and Latin America have made Elmhurst the most diverse part of Queens. Following World War II, Elmhurst became one of the most ethnically diverse neighborhoods as immigrants arrived from new areas.  By the 1980s, there were people from 112 nations residing in the district. Meanwhile, Corona in the 1950s was predominately Italian and African American which began to change in the late 1990s, when immigrants from Latin America arrived. To support the past and ever growing history of our changing neighborhoods, CB4 is requesting funding to help support our cultural organizations tasked with documenting, preserving, and promoting awareness of the past and future development and growth of our iconic community.",No,,,,,,,,,,,,,,21
Queens,7,DCLA,110,QN7,"Parks, Cultural, and Other Community Facilities",Needs for Cultural Services,Department of Cultural Affairs (DCLA),Expense,Cultural facilities and resources,Support nonprofit cultural organizations,Support nonprofit cultural organizations,,"Continued support Nonprofit Cultural Organizations -Flushing Council on Culture and the Arts, Lewis Latimer House, Queens Botanical Garden, Poppenhusen Institute Bowne House and the Kingsland House, ,Bayside Historical Society,. Request MORE funding for these institutes, In the City-Wide picture, Queens receives the least amount  for our Cultural institutions than any of the other 4 Boroughs. Queens should be getting it fair share. OMB recommends this be brought to the attention of our Elected Officials and City Council provided 1.4 Million to Qns. Botanical Garden for their projects. CB 7 is request funding from the Dept. of Cultural Affairs.  For years, this agency has not provided proper proportional funding to Queens , increasing funding is needed. (1983)",No,,,,,,,,,,,,,,17
Queens,3,DEP,111,QN3,"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,Inspect sanitary sewer on specific street segment and repair or replace as needed,Inspect sanitary sewer on specific street segment and repair or replace as needed,,Increase DEP inspectorial personnel to address dumping and other environmental infractions.,No,,,,,,,,,,,,,,19
Queens,5,DEP,112,QN5,"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,Inspect sanitary sewer on specific street segment and repair or replace as needed,Inspect sanitary sewer on specific street segment and repair or replace as needed,,"PROVIDE FIELD WORKERS FOR THE BUREAU OF WATER AND SEWER OPERATIONS      Field workers in sufficient numbers are needed to ensure that City water remains excellent; that catch basins are cleaned and repaired and sewer lines are flushed in a reasonable amount of time; that sewer backups and leaks are corrected expeditiously and that sewer repairs and fire hydrant repairs are performed in a timely manner. Cave-in conditions in the road and adjacent to catch basins too often have gone unrepaired for months, presenting dangerous conditions.",No,,,,,,,,,,,,,,2
Queens,10,DEP,113,QN10,"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,Inspect sanitary sewer on specific street segment and repair or replace as needed,Inspect sanitary sewer on specific street segment and repair or replace as needed,,"Provide ongoing inspection and maintenance of sewers and catch basins.To assure that flooding of the magnitude that engulfed the community board area recently does not occur again, it is essential that ongoing inspection and maintenance of sewers and catch basins occur on a far more regular basis.",No,,,,,,,,,,,,,,4
Queens,5,DEP,114,QN5,"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Wastewater treatment system,Investigate odor complaints about a wastewater facility and address/repair or make equipment improvements as needed,Investigate odor complaints about a wastewater facility and address/repair or make equipment improvements as needed,,"HIRE OPERATIONS STAFF FOR THE BUREAU OF WASTEWATER POLLUTION CONTROL     Sufficient Staffing is needed to perform odor and water pollution control monitoring at wastewater treatment facilities in New York City. Odors from wastewater treatment facilities pose health hazards, will likely cause residents to move and could severely hamper business investment. Locally, we are most concerned about the Newtown Creek Water Pollution Control Plant.",No,,,,,,,,,,,,,,20
Bronx,1,DOHMH,115,BX1,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"Add Funding for Asthma Treatment. Bronx Community District #1 has been designated as part of the Asthma Corridor. The Municipal Hospital in our district. Lincoln Medical & Mental Health Center, handles approximately 50,000 pediatric visits and 45,000 pediatric emergency room visits, 5% of which are Asthma related. Additional funding is needed for Asthma Education and case management assistance.",No,,,,,,,,,,,,,,4
Bronx,1,DOHMH,116,BX1,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,Additional PEP Officers.  There exists a need for additional Park Enforcement Officers throughout the Bronx.  Additional permanent Officers would allow improved security and better enforcement of quality-of-life concerns throughout the Bronx.,No,,,,,,,,,,,,,,15
Bronx,2,DOHMH,117,BX2,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,Create proper outreach coordination with the District of vector surveillance schedule. ,No,,,,,,,,,,,,,,6
Bronx,6,DOHMH,118,BX6,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"Bronx CB6 has among the highest overdose rates  in NYC. We request that DOH provide funding to harm reduction programs operating in CB6, as well as provide the CB a list of all harm reduction programs offering services in our District (needle exchange,  narcan, etc).",No,,,,,,,,,,,,,,4
Bronx,6,DOHMH,119,BX6,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,Families receiving home care services are often unclear on their rights and how to best advocate for themselves. CB6 requests educational programming for families receiving home care.,No,,,,,,,,,,,,,,5
Bronx,6,DOHMH,120,BX6,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"Please provide the CB with a comprehensive list of mental health programs operating in CB6, with a description of the scope of funded programming for each organization.",No,,,,,,,,,,,,,,7
Bronx,6,DOHMH,121,BX6,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"The LGBT population of CB6 is in need of mental and physical health care services. Please provide a list of what services are provided to that population in CB6, including all providers with offices in CB6 providing those services",No,,,,,,,,,,,,,,9
Bronx,6,DOHMH,122,BX6,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,Expand funding for Cure Violence programming in CB6.,No,,,,,,,,,,,,,,14
Bronx,6,DOHMH,123,BX6,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,Please provide the CB with a data on mental health access  in CB6.,No,,,,,,,,,,,,,,17
Bronx,8,DOHMH,124,BX8,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"Provide increased funding for protective medical supplies such as hand sanitizers, gloves and masks and Coronavirus home test kits to combat a future communicable virus outbreak . These supplies would be distributed to the public to reduce the spread of another outbreak and to help decrease the infection rate within CB8 and to assist the decrease of clinic & hospital visits. ",No,,,,,,,,,,,,,,36
Bronx,11,DOHMH,125,BX11,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"MORE HEALTH INSPECTORS TO INVESTIGATE RAT INFESTATIONS IN RESIDENTIAL PROPERTIES Explanation: There needs to be more Health Inspectors to investigate, follow through and resolve rat infestation issues in residential properties. ",Yes,,Bronx District 11,,,,,,,,,,,,15
Bronx,11,DOHMH,126,BX11,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"With so many new buildings erected, an estimated dozen within a 10 square block radius, a data study is requested to inform the community of the actual number of cars and a number of school-aged children in the area. Moreover, an overview of how this is affecting the community is being requested.",Yes,,,Bronx District 11,,,,,,,,,,,23
Brooklyn,1,DOHMH,127,BK1,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"Request: Increase the staffing of outreach programs that handle education, testing and counseling for addictions, (ie.drug abuse, nicotine cessation, smoking/vaping.) Also outreach programs are needed for Corvid-19 and other infectious diseases (TB/AIDS/ZIKA). Explanation: There is a Mental Health Crisis in the Williamsburg and Greenpoint community due to the overuse and abuse of drugs that has led to homelessness, domestic violence and increase in crime rates. Also, because of the Corvid-19 pandemic, those who have not left their homes, especially Seniors, have become severely depressed. They need outreach and counseling.  ",No,,,,,,,,,,,,,,5
Brooklyn,1,DOHMH,128,BK1,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"Request: Fund Comprehensive Study of Environmental Health Hazards, Including Air Quality and Asthma, to Learn Cumulative Effects on CB #1; Study Should Include the DEP Waste Water Treatment Plant. Explanation: Community Board No. 1 has been impacted by many adverse environmental factors (i.e., Mobile Oil spill, toxic waste, transfer stations, air pollution, etc.). A comprehensive study is needed to assess these impacts and develop resolutions, such as anti-asthma initiatives, to be implemented. The Study should include the DEP Waste Water Treatment Plant. Responsible Agency: Department of Health and Mental Hygiene. We remain concerned about the many public safety needs for the COVID-19 pandemic.",No,,,,,,,,,,,,,,14
Brooklyn,3,DOHMH,129,BK3,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,There is a racial disparity in maternal mortality that disproportionately impacts Black people. The Board requests healthy pregnancy education programs and resources as well as workshops and materials that identify warning signs that is provided by health educators and doulas to reduce impacts in our community.,No,,,,,,,,,,,,,,4
Brooklyn,3,DOHMH,130,BK3,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"The pandemic, due to remote learning/work and excess free time, has significantly increased screen time in front of computers and other devices. Health effects from this shift will be long-lasting and chronic for some. The Board urges the agency to invest in programs that offer broad access to vision and auditory screening services for children and adults, including establishing mobile clinic services.",No,,,,,,,,,,,,,,17
Brooklyn,3,DOHMH,131,BK3,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Programs to address other public health issues,Other programs to address public health issues requests,Other programs to address public health issues requests,,"The Board requests creation and promotion of nutrition awareness and education on physical activity, etc. specific to CB3's most vulnerable populations (seniors and youth), programs to address public health issues in CB3 (i.e. COVID 19, SHOP Healthy Brooklyn), provide more HIV/AIDS information and outreach, and promotion of smoking cessation and anti-vaping programs.",No,,,,,,,,,,,,,,23
